CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
418,1444,20576965279
414,1435,19473760053
401,1454,19346095464
421,1453,19035613245
409,1414,19264248129
398,1423,19719389006
413,1452,19858742469
388,1435,19064056843
426,1460,18895450221
412,1413,19121413324
456,1620,20835557404
442,1588,20923146752
467,1590,20832587815
469,1583,20770417223
431,1595,21356455416
435,1595,21524605327
451,1615,21733760749
426,1609,21131946963
463,1562,21111622226
443,1604,21056480453
503,1718,23370734430
504,1694,22682927909
490,1727,23121308076
494,1731,22887053716
504,1728,23857970981
500,1736,23173833693
516,1694,22470566905
493,1736,23142095861
466,1731,23078237465
513,1710,22560574721
527,1870,25835608154
535,1821,25516208683
524,1851,24789051409
545,1831,24853021641
558,1843,25264519367
556,1856,25111305376
523,1839,25096504356
529,1838,25136297930
527,1860,24916606853
552,1847,24445721624
585,2041,27342486414
548,2011,26947647026
554,1999,27139634353
580,2042,27212678769
593,1988,26922197269
584,2013,26709289465
563,2024,26972214085
575,2053,26734012272
586,2005,27222386178
578,1962,27385422161
607,2160,29489658593
630,2109,28864069358
615,2136,28597733800
611,2110,28572265208
613,2138,28766766381
599,2152,28552744272
639,2151,28421440950
599,2137,28392329039
632,2160,28678127066
587,2106,28848670600
674,2342,31108068722
659,2284,30774146547
671,2255,30873873631
652,2319,30638744939
676,2235,30743576729
668,2295,30758520219
657,2251,30939155319
664,2295,30535119386
670,2274,30823982176
675,2253,31189352781
680,2474,32267834604
719,2456,33333808403
685,2446,33309855723
682,2458,32750930878
694,2434,32089417703
688,2418,33431390875
700,2395,32779019396
729,2396,32947105107
712,2420,32477783383
700,2414,33070721680
759,2618,35281347407
736,2610,34964808862
749,2594,35273727385
759,2580,35433065837
740,2594,35596160319
700,2624,34324798326
739,2570,34603486118
761,2542,34088310414
757,2596,34568748954
750,2610,35483226066
783,2692,36220284164
790,2824,37008333347
773,2730,36677298675
772,2722,36418761661
805,2674,36991354830
810,2684,36943767983
795,2741,36270238153
798,2680,36822949783
768,2763,37020328411
791,2714,36432851736
830,2848,38475194710
816,2890,38556627403
813,2877,38460715853
830,2805,38207480014
828,2853,38106046849
813,2857,39047728894
819,2887,38238135390
821,2837,39058152663
816,2843,38793093589
817,2856,38117878786
