CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
2286,4061,67593890914
2229,3928,66620440193
2285,3902,65323490707
2282,3960,65296451462
2248,3818,65520648929
2262,3844,66095027856
2255,3882,65942894173
2272,4069,67560009227
2251,3812,64267090363
2215,3811,66521751339
2417,4201,71392847102
2494,4342,73599368177
2446,4241,72187267852
2473,4269,71724379553
2484,4294,72819539832
2464,4217,71021737159
2560,4334,73188947544
2453,4288,71895750483
2458,4222,72968373430
2491,4280,73594034700
2669,4567,77028020164
2691,4647,78728297004
2728,4858,80694356771
2720,4748,80749285854
2694,4661,80231400027
2606,4667,78229591270
2650,4647,78781043029
2694,4809,80527915617
2691,4713,79377894550
2697,4734,80604168332
2881,5060,83778658449
3006,5110,85796862150
2983,5087,86202334161
2997,5030,84995446248
2912,4956,82992626475
2958,5155,85714295736
2958,4981,84004614540
2974,5167,86479537579
2878,5004,85302191328
2964,4971,85555212074
3194,5465,93026918524
3150,5494,92093789692
3103,5335,90458196610
3187,5439,91492116164
3125,5441,90628919288
3147,5392,91421501088
3105,5451,92575746587
3146,5409,92331754596
3115,5424,90387506743
3143,5382,89860026977
3308,5746,97887700489
3287,5747,95851000025
3321,5731,96407135780
3327,5877,97617322160
3297,5738,97010481214
3333,5759,97840151484
3316,5920,101145917333
3379,5753,99780513679
3311,5797,95789635347
3379,5766,98069942208
3567,6252,103682208052
3582,6260,108561630449
3591,6143,103616242226
3657,6305,106334246870
3554,6086,102717293577
3589,6124,103737456245
3581,6107,103942757286
3556,6187,103284486053
3571,6149,105046823149
3511,6196,103208836034
3853,6610,111767121050
3810,6669,112038836978
3812,6740,112543676303
3801,6454,109721450893
3812,6621,110882028590
3960,6841,116238441884
3796,6669,112269097550
3792,6416,109423482940
3798,6695,112230349279
3788,6495,110740212234
4023,6883,118240922170
3993,7011,118293451921
4036,7199,118426845083
4038,7095,117619555340
4004,7135,119517143008
4004,6978,117895706637
3999,6917,117057762083
4042,7015,117823255858
4034,6914,118621516620
4026,6922,117143135334
4205,7449,123603052517
4251,7344,124733038489
4198,7533,125800222659
4174,7252,123133201295
4224,7292,123047056877
4177,7685,126008091315
4188,7294,122531514675
4217,7306,122953920856
4254,7799,127398976743
4194,7234,122018153304
4492,7686,129356847832
4609,8107,136492589704
4477,7841,133059038722
4423,7720,130303470139
4378,7652,127648360224
4433,7722,130335865778
4404,7650,126948402513
4543,7705,133055965943
4474,7747,130500084530
4401,7819,130976634898
